Parent Produk,Tipe,Nama Produk,SKU,Satuan
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Dop 1,A12D2000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Dop 2,A22D2000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP HIJAU D,D12J1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Hijau A1,A11J1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Hijau A2,A22J1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Hijau D,A11J100D,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Hijau SMP,A11J100S,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Hitam,A12H1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Hitam A2,A22H1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Hitam Sablon A1,A12S1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Hitam Sablon A2,A22S1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Hitam Super,A22H2000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP KARUNG A1,A12K1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP KARUNG A2,A22K1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP KARUNG B,B12K1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Karung,BB000005,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Krem,BB000006,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Kuning A1,A12Y1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP MERAH K1,A12E1100,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Mangkak A1,A12N1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Mangkak B,B12N1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Merah A1,A12E1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Merah A2,A22E1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP OPP A1,A11O2000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP OPP A2,A21O2000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Ori,C12R2000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Sablon,BB000007,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Super,BB000008,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Super 1,K12Z2100,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Super 2,K12Z2200,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Super 3,K12Z2300,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Toko A1,A12T2000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Toko A2,A22T2000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,PP Warna,A22W1000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Pewarna Biru CSP-K,BB000013,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Pewarna Merah CSP-K,BB000012,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Pewarna Putih,BB000014,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Pink KC 8062,H30P0062,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Plastik Mika,AT222032,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Red Bel Vanila,BP000007,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Red Keisha Chem,BB000009,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Refil Cutter/Silet Besar,BP000008,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Refill Cutter Kecil,BP000009,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,SPIDOL PUTIH SNOWMAN,R2200000,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,SUPER PEL,BP000012,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Sabun Colek,BP000010,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Sapon,BJ000001,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Sapu Tangan / Lap,AT222035,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Sarung Tangan,BP000011,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Selotip,AT222036,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Tali Rafia,AT222042,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Timbangan Digital,BP000013,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Ungu,BB000010,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Warna Campur,BB000011,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran,BB000002,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Rafia Hitam KW,WIP000007,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Rafia Hitam Super,WIP000008,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Sedotan Bening Lurik Double,WIP000003,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Sedotan Dop Super,WIP000004,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Sedotan Hijau KW,WIP000005,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Sedotan Hitam Steril,WIP000001,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Sedotan Kuning KW,WIP000006,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Sedotan Kuning Lurik Hijau,WIP000002,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Sedotan Lurik Dop,WIP000010,KG
Produk INTERMEDIATE Rafia,INTERMEDIATE,Campuran Sedotan Pink KW,WIP000009,KG
Lakop,FINISHED_GOOD,Lakop Pel Air Biru Muda,LR0000,PCS
Lakop,FINISHED_GOOD,Lakop Pel Air Hijau,LJ0000,PCS
Lakop,FINISHED_GOOD,Lakop Pel Air Kuning,LK0000,PCS
