sourceRow,name,productCode,sheetUnit,dibeli,dijual,category,suggestedPrimaryUnit,existingNameMatch,existingSkuForName,existingUnitForName,existingParentForName,existingNamesUsingSameSku,issueTypes,suggestedAction
214,Sedotan Hitam Steril Full Polos Isi 250,SHS00WL-00,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
215,Sedotan Hitam Steril Full Polos Isi 500,SHS00WL-00,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
216,Sedotan Hitam Steril Full Polos Jasa,SHS00JL-00,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Hitam Steril Full Polos Jasa,SHS00JL-00,KG,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Full Polos Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
217,Sedotan Hitam Steril Full Printing,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hitam Steril Full Printing,SHS00WL-11,PCS,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
218,Sedotan Hitam Steril Full Printing Isi 250,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
219,Sedotan Hitam Steril Full Printing Isi 500,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
220,Sedotan Hitam Steril Jasa,SHP00JL6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Hitam Steril Jasa,SHP00JL6,KG,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
221,Sedotan Hitam Steril Kura Isi 250,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
222,Sedotan Hitam Steril Kura Isi 500,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
223,Sedotan Hitam Steril Pack Polos Isi 250,SHS00WL-20,Pack,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
224,Sedotan Hitam Steril Pack Printing Isi 250,SHS00WL-22,Pack,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hitam Steril Pack Printing Isi 250,SHS00WL-22,PCS,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Pack Printing Isi 250,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
225,Sedotan Hitam Steril Polos Pack Isi 200,BJ000011,Pack,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hitam Steril Polos Pack Isi 200,BJ000011,PCS,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Polos Pack Isi 200,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
226,Sedotan Hitam Steril Printing Pack Isi 200,BJ000012,Pack,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hitam Steril Printing Pack Isi 200,BJ000012,PCS,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Printing Pack Isi 200,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
227,Sedotan Hitam Steril Zak Full Polos,,Zak,,4-114 Penjualan Sedotan Steril,BARANG JADI,ZAK,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
228,Sedotan Hitam Super,SHP00ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hitam Super,SHP00ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Hitam Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
229,Sedotan Hitam Super Lubang 10,SHP00ST10,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hitam Super Lubang 10,SHP00ST10,KG,Produk FINISHED GOOD Rafia,Sedotan Hitam Super Lubang 10,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
230,Sedotan Hitam Tekuk,SHP00SU6,Kg,,4-110 Penjualan Sedotan Tekuk,BARANG JADI,KG,Sedotan Hitam Tekuk,SHP00SU6,KG,Produk FINISHED GOOD Rafia,Sedotan Hitam Tekuk,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
231,"Sedotan Hitam Tumpul Lubang 8,5",SHP00ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Hitam Tumpul Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
232,"Sedotan Hitam Tumpul Lubang 9,5",SHP00ST9,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,"Sedotan Hitam Tumpul Lubang 9,5",SHP00ST9,KG,Produk FINISHED GOOD Rafia,"Sedotan Hitam Tumpul Lubang 9,5",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
233,Sedotan Kuning KW,SKP00KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Kuning KW,SKP00KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
234,Sedotan Kuning KW Jasa,SKK00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Kuning KW Jasa,SKK00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning KW Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
235,"Sedotan Kuning KW Lubang 6,5",SHP00KT65,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Kuning KW Lubang 6.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
236,Sedotan Kuning KW Lubang 7,SKP00KT7,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Kuning KW Lubang 7,SKP00KT7,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning KW Lubang 7,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
237,Sedotan Kuning KW Lurik Dop,SKLD0KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Kuning KW Lurik Dop,SKLD0KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning KW Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
238,"Sedotan Kuning Lancip Lubang 5,5",SKP00WL,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Kuning Lancip Lubang 5.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
239,"Sedotan Kuning Lancip Lubang 8,5",SKP00SL8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Kuning Lancip Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
240,Sedotan Kuning Lurik Dop Jasa,SKS00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Kuning Lurik Dop Jasa,SKS00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning Lurik Dop Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
241,Sedotan Kuning Lurik Dop Lancip,SKLD0SL6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Kuning Lurik Dop Lancip,SKLD0SL6,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning Lurik Dop Lancip,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
242,Sedotan Kuning Lurik Dop Lancip Lubang 6,BJ000023,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Kuning Lurik Dop Lancip Lubang 6,BJ000023,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning Lurik Dop Lancip Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
243,Sedotan Kuning Lurik Dop Lubang 6,SKLD0ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Kuning Lurik Dop Lubang 6,SKLD0ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning Lurik Dop Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
244,"Sedotan Kuning Lurik Dop Lubang 6,2",SKLD0ST2,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,"Sedotan Kuning Lurik Dop Lubang 6,2",SKLD0ST2,KG,Produk FINISHED GOOD Rafia,"Sedotan Kuning Lurik Dop Lubang 6,2",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
245,"Sedotan Kuning Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
246,Sedotan Kuning Lurik Hijau 200gr,BJ000013,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,Sedotan Kuning Lurik Hijau 200gr,BJ000013,PCS,Produk FINISHED GOOD Rafia,Sedotan Kuning Lurik Hijau 200gr,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
247,Sedotan Kuning Steril Full Printing,SKS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Kuning Steril Full Printing,SKS00WL-11,PCS,Produk FINISHED GOOD Rafia,Sedotan Kuning Steril Full Printing,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
248,Sedotan Kuning Super,SKP00ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Kuning Super,SKP00ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
249,Sedotan Kuning Super 3,SKP00WT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Kuning Super 3,SKP00WT6,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning Super 3,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
250,Sedotan Kuning Super Jasa,SKP00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Kuning Super Jasa,SKP00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Kuning Super Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
251,"Sedotan Kuning Tumpul Lubang 8,5",SKP00ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Kuning Tumpul Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
252,"Sedotan Kuning Tumpul Lubang 8,5 Jasa",SKP00JT8,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,,,,,Sedotan Kuning Tumpul Lubang 8.5 Jasa,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
253,Sedotan Los Bening Lurik Pink Putih,SBLPDKT6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Bening Lurik Pink Putih,SBLPDKT6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Bening Lurik Pink Putih,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
254,Sedotan Los Bening Super,SBP00ST6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Bening Super,SBP00ST6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Bening Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
255,Sedotan Los Hijau Lurik Dop,SJPLD0KT6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Hijau Lurik Dop,SJPLD0KT6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Hijau Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
256,Sedotan Los Hijau Super,SJP00ST6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Hijau Super,SJP00ST6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Hijau Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
257,Sedotan Los Kuning Lurik Dop,SKLD0KT6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Kuning Lurik Dop,SKLD0KT6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Kuning Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
258,Sedotan Los Kuning Super,SKP00ST6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Kuning Super,SKP00ST6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Kuning Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
259,Sedotan Los Merah Lurik Dop,SMLD0KT-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Merah Lurik Dop,SMLD0KT-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Merah Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
260,Sedotan Los Merah Super,SMP00ST6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Merah Super,SMP00ST6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Merah Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
261,Sedotan Los Pink Lurik Dop,SPLD0KT6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Pink Lurik Dop,SPLD0KT6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Pink Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
262,Sedotan Los Pink Super,SPP00ST6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Pink Super,SPP00ST6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Pink Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
263,Sedotan Los Putih Dop Super,SDP00ST6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Putih Dop Super,SDP00ST6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Putih Dop Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
264,Sedotan Los Ungu Lurik Dop,SULD0KT6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Ungu Lurik Dop,SULD0KT6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Ungu Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
265,Sedotan Los Ungu Super,SUP00ST6-00,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Los Ungu Super,SUP00ST6-00,KG,Produk FINISHED GOOD Rafia,Sedotan Los Ungu Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
266,Sedotan Merah KW,SMP00KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Merah KW,SMP00KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Merah KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
267,Sedotan Merah KW Jasa,SMK00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Merah KW Jasa,SMK00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Merah KW Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
268,Sedotan Merah KW Lubang 7,SMP00KT7,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Merah KW Lubang 7,SMP00KT7,KG,Produk FINISHED GOOD Rafia,Sedotan Merah KW Lubang 7,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
269,Sedotan Merah KW Lurik Dop,SMLD0KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Merah KW Lurik Dop,SMLD0KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Merah KW Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
270,Sedotan Merah Lurik Dop Jasa,SMS00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Merah Lurik Dop Jasa,SMS00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Merah Lurik Dop Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
271,Sedotan Merah Lurik Dop Lancip Lubang 6,BJ000020,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Merah Lurik Dop Lancip Lubang 6,BJ000020,KG,Produk FINISHED GOOD Rafia,Sedotan Merah Lurik Dop Lancip Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
272,Sedotan Merah Lurik Dop Lubang 6,SMLD0ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Merah Lurik Dop Lubang 6,SMLD0ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Merah Lurik Dop Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
273,"Sedotan Merah Lurik Dop Lubang 6,2",SMLD0ST62,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,"Sedotan Merah Lurik Dop Lubang 6,2",SMLD0ST62,KG,Produk FINISHED GOOD Rafia,"Sedotan Merah Lurik Dop Lubang 6,2",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
274,"Sedotan Merah Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
275,"Sedotan Merah Lurik Dop Lubang 8,5",SMLD0ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Merah Lurik Dop Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
276,Sedotan Merah Super,SMP00ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Merah Super,SMP00ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Merah Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
277,"Sedotan Merah Super 0,95 (10)",,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
278,Sedotan Merah Super Jasa,SMP00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Merah Super Jasa,SMP00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Merah Super Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
279,"Sedotan Merah Tumpul Lubang 8,5",SMP00ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Merah Tumpul Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
280,"Sedotan Merah Tumpul Lubang 8,5 Jasa",SMP00JT8,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,,,,,Sedotan Merah Tumpul Lubang 8.5 Jasa,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
281,"Sedotan Orange Lancip Lubang 5,5",SOP00WL,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Orange Lancip Lubang 5.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
282,Sedotan Orange Lurik Dop Jasa,SOLD0JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Orange Lurik Dop Jasa,SOLD0JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Orange Lurik Dop Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
283,"Sedotan Orange Lurik Dop Lubang 6,2",SOLD0ST62,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,"Sedotan Orange Lurik Dop Lubang 6,2",SOLD0ST62,KG,Produk FINISHED GOOD Rafia,"Sedotan Orange Lurik Dop Lubang 6,2",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
284,Sedotan Orange Steril Full Printing,SOS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Orange Steril Full Printing,SOS00WL-11,PCS,Produk FINISHED GOOD Rafia,Sedotan Orange Steril Full Printing,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
285,Sedotan Pink KW,SPP00KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Pink KW,SPP00KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Pink KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
286,Sedotan Pink KW Jasa,SPK00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Pink KW Jasa,SPK00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Pink KW Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
287,Sedotan Pink KW Lurik Dop,SPLD0KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Pink KW Lurik Dop,SPLD0KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Pink KW Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
288,"Sedotan Pink Lancip Lubang 5,5",SPP00SL6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Pink Lancip Lubang 5.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
289,"Sedotan Pink Lancip Lubang 8,5",SPP00SL8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Pink Lancip Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
290,Sedotan Pink Lurik Dop Jasa,SPLD0JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Pink Lurik Dop Jasa,SPLD0JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Pink Lurik Dop Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
291,Sedotan Pink Lurik Dop Lancip Lubang 6,BJ000021,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Pink Lurik Dop Lancip Lubang 6,BJ000021,KG,Produk FINISHED GOOD Rafia,Sedotan Pink Lurik Dop Lancip Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
292,Sedotan Pink Lurik Dop Lubang 6,SPLD0ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Pink Lurik Dop Lubang 6,SPLD0ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Pink Lurik Dop Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
293,"Sedotan Pink Lurik Dop Lubang 6,2",SPLD0ST62,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,"Sedotan Pink Lurik Dop Lubang 6,2",SPLD0ST62,KG,Produk FINISHED GOOD Rafia,"Sedotan Pink Lurik Dop Lubang 6,2",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
294,"Sedotan Pink Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
295,Sedotan Pink Lurik Dop Lubang 8.5,SPLD0ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Pink Lurik Dop Lubang 8.5,SPLD0ST8,KG,Produk FINISHED GOOD Rafia,Sedotan Pink Lurik Dop Lubang 8.5,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
296,Sedotan Pink Steril Full Printing,SPS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Pink Steril Full Printing,SPS00WL-11,PCS,Produk FINISHED GOOD Rafia,Sedotan Pink Steril Full Printing,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
297,Sedotan Pink Super,SPP00ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Pink Super,SPP00ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Pink Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
298,Sedotan Pink Super Jasa,SPP00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Pink Super Jasa,SPP00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Pink Super Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
299,"Sedotan Pink Tumpul Lubang 8,5",SPP00ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Pink Tumpul Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
300,"Sedotan Pink Tumpul Lubang 8,5 Jasa",SPP00JT8,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,,,,,Sedotan Pink Tumpul Lubang 8.5 Jasa,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
301,Sedotan Putih Dop Super,SDP00ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Putih Dop Super,SDP00ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Putih Dop Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
302,Sedotan Putih Dop Super 90gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,,,,,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME
