sourceRow,name,productCode,sheetUnit,dibeli,dijual,category,suggestedPrimaryUnit,existingNameMatch,existingSkuForName,existingUnitForName,existingParentForName,existingNamesUsingSameSku,issueTypes,suggestedAction
150,Sedotan Bening Lurik Orange Putih Lancip Lubang 6,SBLODSL6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Orange Putih Lancip Lubang 6,SBLODSL6,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Orange Putih Lancip Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
151,Sedotan Bening Lurik Orange Putih Tumpul Lubang 6,SBLODST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Orange Putih Tumpul Lubang 6,SBLODST6,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Orange Putih Tumpul Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
152,Sedotan Bening Lurik Orange Tumpul Lubang 6,SBLO0ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Orange Tumpul Lubang 6,SBLO0ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Orange Tumpul Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
153,Sedotan Bening Lurik Orange Tumpul Lubang 8.5,SBLO0ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Orange Tumpul Lubang 8.5,SBLO0ST8,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Orange Tumpul Lubang 8.5,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
154,Sedotan Bening Lurik Pink Jasa,BJ000019,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Bening Lurik Pink Jasa,BJ000019,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
155,Sedotan Bening Lurik Pink Lancip Lubang 6,SBLP0SL6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Pink Lancip Lubang 6,SBLP0SL6,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Lancip Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
156,Sedotan Bening Lurik Pink Lancip Lubang 8.5,SBLP0SL8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Pink Lancip Lubang 8.5,SBLP0SL8,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Lancip Lubang 8.5,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
157,Sedotan Bening Lurik Pink Putih,SBLPDKT,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Pink Putih,SBLPDKT,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Putih,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
158,Sedotan Bening Lurik Pink Putih Lancip Lubang 10,SBLPDSL10,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Pink Putih Lancip Lubang 10,SBLPDSL10,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Putih Lancip Lubang 10,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
159,Sedotan Bening Lurik Pink Putih Lancip Lubang 12,SBLPDSL12,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Pink Putih Lancip Lubang 12,SBLPDSL12,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Putih Lancip Lubang 12,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
160,Sedotan Bening Lurik Pink Putih Lancip Lubang 6,BJ000014,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Pink Putih Lancip Lubang 6,BJ000014,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Putih Lancip Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
161,Sedotan Bening Lurik Pink Putih Tumpul Lubang 6,SBLPDST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Pink Putih Tumpul Lubang 6,SBLPDST6,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Putih Tumpul Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
162,Sedotan Bening Lurik Pink Tumpul Lubang 6,SBLP0ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Pink Tumpul Lubang 6,SBLP0ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Tumpul Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
163,Sedotan Bening Lurik Pink Tumpul Lubang 8.5,SBLP0ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Pink Tumpul Lubang 8.5,SBLP0ST8,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Pink Tumpul Lubang 8.5,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
164,Sedotan Bening Steril,SBP00WL-11,Pack,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Bening Steril,SBP00WL-11,PCS,Produk FINISHED GOOD Rafia,Sedotan Bening Steril,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
165,Sedotan Bening Steril Full Printing,SBP00SL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Bening Steril Full Printing,SBP00SL-11,PCS,Produk FINISHED GOOD Rafia,Sedotan Bening Steril Full Printing,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
166,Sedotan Bening Super,SBP00ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Super,SBP00ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
167,Sedotan Bening Super Jasa,BJ000016,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Bening Super Jasa,BJ000016,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Super Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
168,Sedotan Biru KW,SRP00KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Biru KW,SRP00KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Biru KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
169,Sedotan Biru KW Jasa,SRK00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Biru KW Jasa,SRK00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Biru KW Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
170,Sedotan Biru KW Lubang 7,SRP00KT7,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Biru KW Lubang 7,SRP00KT7,KG,Produk FINISHED GOOD Rafia,Sedotan Biru KW Lubang 7,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
171,Sedotan Biru KW Lurik Dop,SRLD0KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Biru KW Lurik Dop,SRLD0KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Biru KW Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
172,Sedotan Biru Lurik Dop Jasa,SRLDOJT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Biru Lurik Dop Jasa,SRLDOJT6,KG,Produk FINISHED GOOD Rafia,Sedotan Biru Lurik Dop Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
173,Sedotan Biru Lurik Dop Lancip Lubang 6,BJ000024,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Biru Lurik Dop Lancip Lubang 6,BJ000024,KG,Produk FINISHED GOOD Rafia,Sedotan Biru Lurik Dop Lancip Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
174,"Sedotan Biru Lurik Dop Lancip Lubang 8,5",SRLD0SL8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Biru Lurik Dop Lancip Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
175,Sedotan Biru Lurik Dop Lubang 6,SRLD0ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Biru Lurik Dop Lubang 6,SRLD0ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Biru Lurik Dop Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
176,"Sedotan Biru Lurik Dop Lubang 6,2",SRLD0ST2,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,"Sedotan Biru Lurik Dop Lubang 6,2",SRLD0ST2,KG,Produk FINISHED GOOD Rafia,"Sedotan Biru Lurik Dop Lubang 6,2",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
177,"Sedotan Biru Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
178,Sedotan Biru Super,SRP00ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Biru Super,SRP00ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Biru Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
179,Sedotan Biru Super Jasa,SRS00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Biru Super Jasa,SRS00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Biru Super Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
180,"Sedotan Biru Tumpul Lubang 8,5",SRP00ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Biru Tumpul Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
181,Sedotan BS,S000000,Kg,,4-106 Penjualan Bahan,BARANG JADI,KG,Sedotan BS,S000000,KG,Produk FINISHED GOOD Rafia,Sedotan BS,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
182,Sedotan Dop KW,SDP00KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Dop KW,SDP00KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Dop KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
