sheet,row,sheet_code,sheet_name,amount,code_norm,mapped_db_code,mapped_db_name,db_type,db_category,match_status,match_basis,similarity_score,opening_method,decision_note
NERACA MEI,28,1-211,Tanah,0.0,1-211,1-211,Tanah,ASSET,FIXED_ASSET,MAPPED,DIRECT_CODE,1.0,FIXED_ASSET_MODULE,
NERACA MEI,29,1-212,Bangunan,386478000.0,1-212,1-212b,Bangunan Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,30,1-213,Mesin,2201648880.0,1-213,1-213b,Mesin Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,31,1-214,Kendaraan,27000000.0,1-214,1-214,Kendaraan,ASSET,FIXED_ASSET,MAPPED,DIRECT_CODE,1.0,FIXED_ASSET_MODULE,
NERACA MEI,32,1-215,Peralatan Kantor,98993008.99,1-215,1-215b,Peralatan Kantor Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,33,1-216,Akum. Penyusutan Bangunan,-95501580.75,1-216,1-216b,Akum. Penyusutan Bangunan Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,34,1-217,Akum. Penyusutan Mesin,-921353337.17,1-217,1-217b,Akum. Penyusutan Mesin Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
NERACA MEI,35,1-218,Akum. Penyusutan Kendaraan,-843750.0,1-218,1-218,Akum. Penyusutan Kendaraan,ASSET,FIXED_ASSET,MAPPED,DIRECT_CODE,1.0,FIXED_ASSET_MODULE,
NERACA MEI,36,1-219,Akum. Penyusutan Peralatan Kantor,-84807798.4,1-219,1-219b,Akum. Penyusutan Peralatan Kantor Rafia,ASSET,FIXED_ASSET,MAPPED,SUGGESTED,1.0,FIXED_ASSET_MODULE,
