sourceRow,name,productCode,unit,dibeli,dijual,category,issueTypes
294,"Sedotan Pink Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,MISSING_PRODUCT_CODE
296,Sedotan Pink Steril Full Printing,SPS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,UNSUPPORTED_UNIT
302,Sedotan Putih Dop Super 90gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,MISSING_PRODUCT_CODE;UNSUPPORTED_UNIT
311,"Sedotan Ungu Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,MISSING_PRODUCT_CODE
314,Sedotan Ungu Super Jasa,,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,MISSING_PRODUCT_CODE
316,Sedotan Warna KW,SWP00KT6,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
317,Sedotan Warna KW 175gr,SWK175T-02,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
318,Sedotan Warna KW 70gr,SWK700T-02,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
319,Sedotan Warna KW Polos,SWP00KT-02,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
321,Sedotan Warna Lurik Dop 100gr,SWLD0KT10,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
322,Sedotan Warna Lurik Dop 120gr,BJ000003,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
323,Sedotan Warna Lurik Dop 170gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,MISSING_PRODUCT_CODE;UNSUPPORTED_UNIT
324,Sedotan Warna Lurik Dop 175gr,BJ000004,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
325,Sedotan Warna Lurik Dop 200gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,MISSING_PRODUCT_CODE;UNSUPPORTED_UNIT
326,Sedotan Warna Lurik Dop 60gr,BJ000005,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
327,Sedotan Warna Lurik Dop 70gr,BJ000006,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
328,Sedotan Warna Lurik Dop 75gr,BJ000007,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
329,Sedotan Warna Lurik Dop 80gr,BJ000008,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
330,Sedotan Warna Lurik Dop 95gr,BJ000009,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
331,Sedotan Warna Lurik Dop Super,SWLD0ST-02,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
332,Sedotan Warna Lurik Double 70gr,BJ000015,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,DUPLICATE_PRODUCT_CODE;UNSUPPORTED_UNIT
333,Sedotan Warna Pop Ice Tumpul,BJ000010,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,UNSUPPORTED_UNIT
334,Sedotan Warna Pop Ice Tumpul 130gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,MISSING_PRODUCT_CODE;UNSUPPORTED_UNIT
335,Sedotan Warna Steril Dalam Printing Luar Polos,SWS00WL-10,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,UNSUPPORTED_UNIT
336,Sedotan Warna Steril Full Printing,SWS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,UNSUPPORTED_UNIT
