sourceRow,name,productCode,sheetUnit,dibeli,dijual,category,suggestedPrimaryUnit,existingNameMatch,existingSkuForName,existingUnitForName,existingParentForName,existingNamesUsingSameSku,issueTypes,suggestedAction,normalizedNameKey,matchedExistingNameByNormalizedKey,refinedIssueTypes,refinedSuggestedAction,finalBucket,finalSku,finalName,finalPrimaryUnit,finalAction,finalCategory
213,Sedotan Hitam Steril Full Polos,SHS00WL-00,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full polos,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-012,Sedotan Hitam Steril Full Polos,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
214,Sedotan Hitam Steril Full Polos Isi 250,SHS00WL-00,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full polos isi 250,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-013,Sedotan Hitam Steril Full Polos Isi 250,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
215,Sedotan Hitam Steril Full Polos Isi 500,SHS00WL-00,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full polos isi 500,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-014,Sedotan Hitam Steril Full Polos Isi 500,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
218,Sedotan Hitam Steril Full Printing Isi 250,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full printing isi 250,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-015,Sedotan Hitam Steril Full Printing Isi 250,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
219,Sedotan Hitam Steril Full Printing Isi 500,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full printing isi 500,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-016,Sedotan Hitam Steril Full Printing Isi 500,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
221,Sedotan Hitam Steril Kura Isi 250,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril kura isi 250,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-017,Sedotan Hitam Steril Kura Isi 250,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
222,Sedotan Hitam Steril Kura Isi 500,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril kura isi 500,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-018,Sedotan Hitam Steril Kura Isi 500,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
223,Sedotan Hitam Steril Pack Polos Isi 250,SHS00WL-20,Pack,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril pack polos isi 250,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-019,Sedotan Hitam Steril Pack Polos Isi 250,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
227,Sedotan Hitam Steril Zak Full Polos,,Zak,,4-114 Penjualan Sedotan Steril,BARANG JADI,ZAK,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan hitam steril zak full polos,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-020,Sedotan Hitam Steril Zak Full Polos,ZAK,INSERT_WITH_NEW_SKU,NEW_INSERT
245,"Sedotan Kuning Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan kuning lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-021,"Sedotan Kuning Lurik Dop Lubang 6,5",KG,INSERT_WITH_NEW_SKU,NEW_INSERT
274,"Sedotan Merah Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan merah lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-022,"Sedotan Merah Lurik Dop Lubang 6,5",KG,INSERT_WITH_NEW_SKU,NEW_INSERT
277,"Sedotan Merah Super 0,95 (10)",,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan merah super 0.95 (10),,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-023,"Sedotan Merah Super 0,95 (10)",BAL,INSERT_WITH_NEW_SKU,NEW_INSERT
294,"Sedotan Pink Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan pink lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-024,"Sedotan Pink Lurik Dop Lubang 6,5",KG,INSERT_WITH_NEW_SKU,NEW_INSERT
302,Sedotan Putih Dop Super 90gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,,,,,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,sedotan putih dop super 90gr,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-025,Sedotan Putih Dop Super 90gr,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
311,"Sedotan Ungu Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan ungu lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-026,"Sedotan Ungu Lurik Dop Lubang 6,5",KG,INSERT_WITH_NEW_SKU,NEW_INSERT
314,Sedotan Ungu Super Jasa,,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan ungu super jasa,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-027,Sedotan Ungu Super Jasa,KG,INSERT_WITH_NEW_SKU,NEW_INSERT
323,Sedotan Warna Lurik Dop 170gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,,,,,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,sedotan warna lurik dop 170gr,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-028,Sedotan Warna Lurik Dop 170gr,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
325,Sedotan Warna Lurik Dop 200gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,,,,,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,sedotan warna lurik dop 200gr,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-029,Sedotan Warna Lurik Dop 200gr,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
334,Sedotan Warna Pop Ice Tumpul 130gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,,,,,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,sedotan warna pop ice tumpul 130gr,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED,MLD-BJ-030,Sedotan Warna Pop Ice Tumpul 130gr,PCS,INSERT_WITH_NEW_SKU,NEW_INSERT
